,先行指数,一致指数,遅行指数
1985/1/1,85.2,91.8,84.5
1985/2/1,85.4,91.4,84.2
1985/3/1,85.3,91.4,84.8
1985/4/1,86,92.4,85.5
1985/5/1,86,92.3,85.5
1985/6/1,85.3,91.6,85.9
1985/7/1,85.2,92.6,87
1985/8/1,83.9,92,87.2
1985/9/1,84.2,92,86.9
1985/10/1,83.9,92.2,86.1
1985/11/1,83.2,92.2,86.6
1985/12/1,83.2,91.8,87
1986/1/1,83.8,91.3,87
1986/2/1,83.1,91.1,87.1
1986/3/1,83,90.6,86.9
1986/4/1,82.4,91,85.4
1986/5/1,81.3,90.5,86
1986/6/1,81.3,90.3,86
1986/7/1,80.9,89.8,85.7
1986/8/1,81.8,89.4,85.4
1986/9/1,81.5,90.9,85.7
1986/10/1,81.2,90.3,85.8
1986/11/1,81,89.6,85.3
1986/12/1,82.4,90.6,85.2
1987/1/1,83.4,91.1,85.1
1987/2/1,84.5,91.3,85.3
1987/3/1,86.1,92.2,85.9
1987/4/1,87.3,92.2,86
1987/5/1,89.6,92.6,85.5
1987/6/1,91.5,94.2,86.3
1987/7/1,92.4,95.3,87.2
1987/8/1,94.6,96,88
1987/9/1,95.6,97.4,88.4
1987/10/1,96.9,98.7,88.9
1987/11/1,97.7,99.6,89.2
1987/12/1,97.2,100.5,90.3
1988/1/1,98.6,101.3,90.6
1988/2/1,99.6,103.8,91.6
1988/3/1,98.8,102.4,92.5
1988/4/1,98.9,104.6,92.9
1988/5/1,99.3,104.2,93.7
1988/6/1,99.3,105,94.2
1988/7/1,99,105.9,94.7
1988/8/1,98.8,106.2,95.8
1988/9/1,98.7,107,96.8
1988/10/1,99.6,107.3,97.7
1988/11/1,100.3,108.9,97.9
1988/12/1,101.8,109.1,98.6
1989/1/1,100.9,110,99
1989/2/1,100,109.7,99.5
1989/3/1,101.1,113.7,101
1989/4/1,101.1,110.9,101.6
1989/5/1,100.5,111,102.3
1989/6/1,100.8,111.5,103.3
1989/7/1,100.6,111.1,103.7
1989/8/1,101.2,112.6,103.8
1989/9/1,101.2,113.1,104.2
1989/10/1,100.7,112.6,104.3
1989/11/1,101.5,113.4,105.5
1989/12/1,102.2,113.9,106
1990/1/1,101.5,113.8,106.5
1990/2/1,102.2,114.2,106.7
1990/3/1,101.3,114,106.8
1990/4/1,102,114.8,106.7
1990/5/1,103.4,116.4,106.8
1990/6/1,102.5,117.2,106.7
1990/7/1,101.6,117.7,106.4
1990/8/1,100.6,117.3,107
1990/9/1,99.1,117,107.1
1990/10/1,99.5,118.6,107.7
1990/11/1,98.8,117.9,107.8
1990/12/1,98.7,117.7,108.9
1991/1/1,98.1,117.6,108.6
1991/2/1,97.1,117.1,108.8
1991/3/1,96.2,116.1,108.9
1991/4/1,95.6,115.1,109.2
1991/5/1,94.8,116.4,109.9
1991/6/1,93.4,114.3,110.2
1991/7/1,93,115.6,109.6
1991/8/1,92.1,114.3,108.8
1991/9/1,91.2,113.1,108.7
1991/10/1,91.2,112.3,108.4
1991/11/1,90,112.6,108.5
